Day,Natural Gas Price
09/13/2018,2.94
09/12/2018,2.98
09/11/2018,2.94
09/10/2018,2.9
09/7/2018,2.88
09/6/2018,2.93
09/5/2018,3
09/4/2018,2.96
08/31/2018,2.98
08/30/2018,2.96
08/29/2018,2.96
08/28/2018,2.98
08/27/2018,2.98
08/24/2018,2.99
08/23/2018,3.01
08/22/2018,3.02
08/21/2018,3.01
08/20/2018,3.04
08/17/2018,3.01
08/16/2018,3.02
08/15/2018,3.02
08/14/2018,3.02
08/13/2018,2.92
08/10/2018,2.96
08/9/2018,3.02
08/8/2018,2.99
08/7/2018,2.95
08/6/2018,2.85
08/3/2018,2.86
08/2/2018,2.77
08/1/2018,2.8
07/31/2018,2.82
07/30/2018,2.75
07/27/2018,2.78
07/26/2018,2.82
07/25/2018,2.82
07/24/2018,2.73
07/23/2018,2.79
07/20/2018,2.79
07/19/2018,2.75
07/18/2018,2.8
07/17/2018,2.81
07/16/2018,2.76
07/13/2018,2.86
07/12/2018,2.89
07/11/2018,2.89
07/10/2018,2.9
07/9/2018,2.9
07/6/2018,2.91
07/5/2018,2.91
07/3/2018,2.9
07/2/2018,2.9
06/29/2018,2.96
06/28/2018,2.99
06/27/2018,3.01
06/26/2018,2.98
06/25/2018,2.96
06/22/2018,2.95
06/21/2018,3.08
06/20/2018,2.96
06/19/2018,2.95
06/18/2018,2.99
06/15/2018,3.02
06/14/2018,2.99
06/13/2018,2.98
06/12/2018,2.98
06/11/2018,3
06/8/2018,2.91
06/7/2018,3.02
06/6/2018,2.89
06/5/2018,2.89
06/4/2018,2.89
06/1/2018,2.91
05/31/2018,2.94
05/30/2018,2.83
05/29/2018,2.84
05/25/2018,2.88
05/24/2018,2.88
05/23/2018,2.89
05/22/2018,2.76
05/21/2018,2.77
05/18/2018,2.75
05/17/2018,2.75
05/16/2018,2.85
05/15/2018,2.83
05/14/2018,2.84
05/11/2018,2.75
05/10/2018,2.78
05/9/2018,2.75
05/8/2018,2.77
05/7/2018,2.74
05/4/2018,2.75
05/3/2018,2.75
05/2/2018,2.77
05/1/2018,2.75
04/30/2018,2.75
04/27/2018,2.82
04/26/2018,2.81
04/25/2018,2.81
04/24/2018,2.79
04/23/2018,2.78
04/20/2018,2.78
04/19/2018,2.8
04/18/2018,2.85
04/17/2018,2.84
04/16/2018,2.88
04/13/2018,2.82
04/12/2018,2.76
04/11/2018,2.74
04/10/2018,2.78
04/9/2018,2.78
04/6/2018,2.81
04/5/2018,2.81
04/4/2018,2.81
04/3/2018,2.75
04/2/2018,2.75
03/29/2018,2.81
03/28/2018,2.64
03/27/2018,2.6
03/26/2018,2.63
03/23/2018,2.58
03/22/2018,2.62
03/21/2018,2.74
03/20/2018,2.71
03/19/2018,2.62
03/16/2018,2.62
03/15/2018,2.7
03/14/2018,2.69
03/13/2018,2.76
03/12/2018,2.78
03/9/2018,2.71
03/8/2018,2.8
03/7/2018,2.8
03/6/2018,2.7
03/5/2018,2.7
03/2/2018,2.67
03/1/2018,2.67
02/28/2018,2.66
02/27/2018,2.59
02/26/2018,2.6
02/23/2018,2.58
02/22/2018,2.65
02/21/2018,2.65
02/20/2018,2.61
02/16/2018,2.49
02/15/2018,2.49
02/14/2018,2.53
02/13/2018,2.58
02/12/2018,2.6
02/9/2018,2.66
02/8/2018,2.74
02/7/2018,2.74
02/6/2018,2.75
02/5/2018,2.85
02/2/2018,2.91
02/1/2018,3.06
01/31/2018,3.34
01/30/2018,3.6
01/29/2018,3.6
01/26/2018,3.58
01/25/2018,3.54
01/24/2018,3.54
01/23/2018,3.35
01/22/2018,3.13
01/19/2018,3.2
01/18/2018,3.92
01/17/2018,3.92
01/16/2018,5.46
01/12/2018,4.06
01/11/2018,3.16
01/10/2018,3.16
01/9/2018,2.93
01/8/2018,2.89
01/5/2018,
01/4/2018,4.65
01/3/2018,6.24
01/2/2018,6.24
12/29/2017,3.69
12/28/2017,2.97
12/27/2017,2.76
12/26/2017,2.68
12/22/2017,2.63
12/21/2017,2.64
12/20/2017,2.72
12/19/2017,2.75
12/18/2017,2.71
12/15/2017,2.6
12/14/2017,2.69
12/13/2017,2.87
12/12/2017,2.87
12/11/2017,2.81
12/8/2017,2.78
12/7/2017,2.81
12/6/2017,2.86
12/5/2017,2.86
12/4/2017,2.91
12/1/2017,2.84
11/30/2017,3.06
11/29/2017,3.06
11/28/2017,2.88
11/27/2017,2.88
11/24/2017,3.05
11/23/2017,3.05
11/22/2017,3.05
11/21/2017,3.05
11/20/2017,3.04
11/17/2017,3.04
11/16/2017,3.09
11/15/2017,3.16
11/14/2017,3.06
11/13/2017,3.13
11/10/2017,3.17
11/9/2017,3.18
11/8/2017,3.16
11/7/2017,3.07
11/6/2017,3.01
11/3/2017,2.75
11/2/2017,2.68
11/1/2017,2.68
10/31/2017,2.84
10/30/2017,2.94
10/27/2017,2.78
10/26/2017,2.91
10/25/2017,2.98
10/24/2017,2.95
10/23/2017,2.95
10/20/2017,2.8
10/19/2017,2.83
10/18/2017,2.81
10/17/2017,2.88
10/16/2017,2.87
10/13/2017,2.99
10/12/2017,2.95
10/11/2017,2.89
10/10/2017,2.89
10/9/2017,2.87
10/6/2017,2.93
10/5/2017,2.8
10/4/2017,2.8
10/3/2017,2.73
10/2/2017,2.94
09/29/2017,2.94
09/28/2017,2.96
09/27/2017,2.98
09/26/2017,2.96
09/25/2017,2.96
09/22/2017,2.93
09/21/2017,3.11
09/20/2017,3.13
09/19/2017,3.18
09/18/2017,3.11
09/15/2017,3
09/14/2017,3.03
09/13/2017,3.02
09/12/2017,2.88
09/11/2017,2.88
09/8/2017,2.88
09/7/2017,2.92
09/6/2017,2.98
09/5/2017,2.88
09/4/2017,2.88
09/1/2017,2.88
08/31/2017,2.92
08/30/2017,2.95
08/29/2017,2.95
08/28/2017,2.95
08/25/2017,2.93
08/24/2017,2.97
08/23/2017,2.94
08/22/2017,3
08/21/2017,3
08/18/2017,2.9
08/17/2017,2.91
08/16/2017,2.94
08/15/2017,2.96
08/14/2017,3.02
08/11/2017,2.96
08/10/2017,2.89
08/9/2017,2.81
08/8/2017,2.81
08/7/2017,2.8
08/4/2017,2.76
08/3/2017,2.76
08/2/2017,2.8
08/1/2017,2.8
07/31/2017,2.87
07/28/2017,2.96
07/27/2017,2.95
07/26/2017,2.92
07/25/2017,2.99
07/24/2017,2.99
07/21/2017,3.06
07/20/2017,3.12
07/19/2017,3.11
07/18/2017,3.11
07/17/2017,3.04
07/14/2017,2.94
07/13/2017,2.96
07/12/2017,3.01
07/11/2017,2.98
07/10/2017,2.92
07/7/2017,2.91
07/6/2017,2.89
07/5/2017,2.98
07/4/2017,2.98
07/3/2017,2.98
06/30/2017,2.98
06/29/2017,3.07
06/28/2017,3.03
06/27/2017,2.99
06/26/2017,2.98
06/23/2017,2.89
06/22/2017,2.88
06/21/2017,2.91
06/20/2017,2.91
06/19/2017,2.87
06/16/2017,3.01
06/15/2017,2.94
06/14/2017,2.95
06/13/2017,3.12
06/12/2017,3.12
06/9/2017,3.03
06/8/2017,2.98
06/7/2017,3.06
06/6/2017,2.92
06/5/2017,2.92
06/2/2017,2.85
06/1/2017,3.05
05/31/2017,3.05
05/30/2017,3.1
05/29/2017,3.1
05/26/2017,3.1
05/25/2017,3.1
05/24/2017,3.22
05/23/2017,3.22
05/22/2017,3.24
05/19/2017,3.11
05/18/2017,3.13
05/17/2017,3.27
05/16/2017,3.27
05/15/2017,3.26
05/12/2017,3.24
05/11/2017,3.23
05/10/2017,3.03
05/9/2017,3.03
05/8/2017,3.06
05/5/2017,3.1
05/4/2017,3.11
05/3/2017,3.14
05/2/2017,3.13
05/1/2017,3.2
04/28/2017,3.2
04/27/2017,3.13
04/26/2017,3.06
04/25/2017,2.99
04/24/2017,3.06
04/21/2017,3.06
04/20/2017,3.13
04/19/2017,3.11
04/18/2017,3.11
04/17/2017,3.09
04/14/2017,3
04/13/2017,3
04/12/2017,2.97
04/11/2017,3.11
04/10/2017,3.15
04/7/2017,3.23
04/6/2017,3.23
04/5/2017,3.22
04/4/2017,3.06
04/3/2017,3.13
03/31/2017,3.13
03/30/2017,3.08
03/29/2017,3.03
03/28/2017,2.95
03/27/2017,2.94
03/24/2017,2.97
03/23/2017,2.93
03/22/2017,3.02
03/21/2017,3.09
03/20/2017,2.93
03/17/2017,2.85
03/16/2017,2.84
03/15/2017,3.02
03/14/2017,3.02
03/13/2017,3.04
03/10/2017,2.98
03/9/2017,2.83
03/8/2017,2.59
03/7/2017,2.68
03/6/2017,2.68
03/3/2017,2.5
03/2/2017,2.59
03/1/2017,2.54
02/28/2017,2.54
02/27/2017,2.44
02/24/2017,2.63
02/23/2017,2.63
02/22/2017,2.52
02/21/2017,2.56
02/20/2017,2.75
02/17/2017,2.75
02/16/2017,2.88
02/15/2017,2.95
02/14/2017,2.85
02/13/2017,2.93
02/10/2017,3.11
02/9/2017,3.11
02/8/2017,3.05
02/7/2017,3.03
02/6/2017,2.92
02/3/2017,3.13
02/2/2017,3.13
02/1/2017,3.15
01/31/2017,3
01/30/2017,3.22
01/27/2017,3.31
01/26/2017,3.44
01/25/2017,3.26
01/24/2017,3.16
01/23/2017,3.16
01/20/2017,3.23
01/19/2017,3.25
01/18/2017,3.26
01/17/2017,3.37
01/16/2017,3.36
01/13/2017,3.36
01/12/2017,3.36
01/11/2017,3.27
01/10/2017,3.21
01/9/2017,3.14
01/6/2017,3.38
01/5/2017,3.42
01/4/2017,3.42
01/3/2017,3.41
01/2/2017,3.71
12/30/2016,3.71
12/29/2016,3.71
12/28/2016,3.7
12/27/2016,3.7
12/26/2016,3.6
12/23/2016,3.6
12/22/2016,3.5
12/21/2016,3.5
12/20/2016,3.39
12/19/2016,3.55
12/16/2016,3.51
12/15/2016,3.56
12/14/2016,3.55
12/13/2016,3.65
12/12/2016,3.6
12/9/2016,3.75
12/8/2016,3.68
12/7/2016,3.8
12/6/2016,3.75
12/5/2016,3.44
12/2/2016,3.44
12/1/2016,3.32
11/30/2016,3.32
11/29/2016,3.02
11/28/2016,2.96
11/25/2016,2.76
11/24/2016,2.76
11/23/2016,2.76
11/22/2016,2.73
11/21/2016,2.81
11/18/2016,2.6
11/17/2016,2.37
11/16/2016,2.49
11/15/2016,2.49
11/14/2016,2.26
11/11/2016,2.08
11/10/2016,2.08
11/9/2016,2.22
11/8/2016,2.34
11/7/2016,2.37
11/4/2016,2.2
11/3/2016,2.41
11/2/2016,2.53
11/1/2016,2.53
10/31/2016,2.85
10/28/2016,2.72
10/27/2016,2.72
10/26/2016,2.69
10/25/2016,2.69
10/24/2016,2.78
10/21/2016,2.92
10/20/2016,3.12
10/19/2016,3.18
10/18/2016,3.25
10/17/2016,3.21
10/14/2016,3.18
10/13/2016,3.16
10/12/2016,3.17
10/11/2016,3.17
10/10/2016,3.18
10/7/2016,3.02
10/6/2016,3.04
10/5/2016,2.83
10/4/2016,2.83
10/3/2016,2.84
09/30/2016,2.84
09/29/2016,2.98
09/28/2016,3.07
09/27/2016,3.09
09/26/2016,3.06
09/23/2016,3.06
09/22/2016,3.18
09/21/2016,3.19
09/20/2016,3.12
09/19/2016,3
09/16/2016,2.97
09/15/2016,2.98
09/14/2016,3.07
09/13/2016,3.04
09/12/2016,3.04
09/9/2016,2.93
09/8/2016,2.88
09/7/2016,2.77
09/6/2016,2.88
09/5/2016,2.88
09/2/2016,2.88
09/1/2016,2.95
08/31/2016,2.95
08/30/2016,2.95
08/29/2016,2.97
08/26/2016,2.91
08/25/2016,2.89
08/24/2016,2.82
08/23/2016,2.75
08/22/2016,2.75
08/19/2016,2.67
08/18/2016,2.75
08/17/2016,2.76
08/16/2016,2.75
08/15/2016,2.75
08/12/2016,2.7
08/11/2016,2.7
08/10/2016,2.76
08/9/2016,2.85
08/8/2016,2.85
08/5/2016,2.88
08/4/2016,2.89
08/3/2016,2.89
08/2/2016,2.79
08/1/2016,2.97
07/29/2016,2.97
07/28/2016,2.79
07/27/2016,2.84
07/26/2016,2.84
07/25/2016,2.8
07/22/2016,2.8
07/21/2016,2.76
07/20/2016,2.76
07/19/2016,2.83
07/18/2016,2.83
07/15/2016,2.7
07/14/2016,2.79
07/13/2016,2.81
07/12/2016,2.88
07/11/2016,2.88
07/8/2016,2.8
07/7/2016,2.78
07/6/2016,2.82
07/5/2016,2.82
07/4/2016,2.89
07/1/2016,2.89
06/30/2016,2.94
06/29/2016,2.94
06/28/2016,2.89
06/27/2016,2.79
06/24/2016,2.71
06/23/2016,2.69
06/22/2016,2.82
06/21/2016,2.79
06/20/2016,2.74
06/17/2016,2.59
06/16/2016,2.62
06/15/2016,2.62
06/14/2016,2.55
06/13/2016,2.55
06/10/2016,2.46
06/9/2016,2.34
06/8/2016,2.36
06/7/2016,2.32
06/6/2016,2.32
06/3/2016,2.31
06/2/2016,2.3
06/1/2016,2.25
05/31/2016,2.12
05/30/2016,1.77
05/27/2016,1.77
05/26/2016,1.77
05/25/2016,1.77
05/24/2016,1.91
05/23/2016,1.96
05/20/2016,1.81
05/19/2016,1.83
05/18/2016,1.91
05/17/2016,1.97
05/16/2016,1.91
05/13/2016,1.96
05/12/2016,2.01
05/11/2016,2.01
05/10/2016,2.01
05/9/2016,2.01
05/6/2016,1.86
05/5/2016,2.05
05/4/2016,2.03
05/3/2016,1.94
05/2/2016,1.91
04/29/2016,1.89
04/28/2016,1.88
04/27/2016,1.88
04/26/2016,1.97
04/25/2016,1.97
04/22/2016,1.92
04/21/2016,1.96
04/20/2016,1.94
04/19/2016,1.94
04/18/2016,1.76
04/15/2016,1.71
04/14/2016,1.93
04/13/2016,2.01
04/12/2016,1.97
04/11/2016,1.9
04/8/2016,1.99
04/7/2016,1.96
04/6/2016,1.91
04/5/2016,1.96
04/4/2016,1.96
04/1/2016,1.88
03/31/2016,1.98
03/30/2016,1.87
03/29/2016,1.77
03/28/2016,1.78
03/25/2016,1.78
03/24/2016,1.78
03/23/2016,1.79
03/22/2016,1.79
03/21/2016,1.79
03/18/2016,1.84
03/17/2016,1.84
03/16/2016,1.77
03/15/2016,1.81
03/14/2016,1.68
03/11/2016,1.74
03/10/2016,1.72
03/9/2016,1.61
03/8/2016,1.6
03/7/2016,1.56
03/4/2016,1.49
03/3/2016,1.59
03/2/2016,1.6
03/1/2016,1.57
02/29/2016,1.62
02/26/2016,1.78
02/25/2016,1.78
02/24/2016,1.85
02/23/2016,1.85
02/22/2016,1.86
02/19/2016,1.83
02/18/2016,1.89
02/17/2016,1.93
02/16/2016,1.95
02/15/2016,2.08
02/12/2016,2.08
02/11/2016,2.15
02/10/2016,2.16
02/9/2016,2.17
02/8/2016,2.23
02/5/2016,2.08
02/4/2016,2.07
02/3/2016,2.06
02/2/2016,2.07
02/1/2016,2.28
01/29/2016,2.28
01/28/2016,2.15
01/27/2016,2.26
01/26/2016,2.26
01/25/2016,2.16
01/22/2016,2.21
01/21/2016,2.22
01/20/2016,2.18
01/19/2016,2.23
01/18/2016,2.18
01/15/2016,2.18
01/14/2016,2.21
01/13/2016,2.28
01/12/2016,2.4
01/11/2016,2.54
01/8/2016,2.47
01/7/2016,2.35
01/6/2016,2.37
01/5/2016,2.33
01/4/2016,2.39
01/1/2016,2.28
12/31/2015,2.28
